styear,stmon,events,warevents,fatalmin,fatalmax,warfatalmin,warfatalmax
1965,12,45,8,2872,3901,2835,3860
1966,1,37,18,21892,25593,21891,25568
1966,2,24,4,1422,1617,1413,1592
1966,3,25,12,3797,5249,3790,5230
1966,4,30,5,1131,1515,1127,1313
1966,5,20,6,2006,2326,2005,2325
1966,6,12,10,3805,5472,3804,5471
1966,7,32,10,2990,3987,2982,3963
1966,8,29,13,2904,4181,2858,4021
1966,9,22,6,2308,2891,2305,2884
1966,10,33,6,1752,2071,1736,2025
1966,11,19,5,1433,1688,1423,1674
1966,12,22,4,1129,1279,1121,1263
1967,1,34,12,20997,23731,20918,23652
1967,2,53,14,8573,10602,8541,10506
1967,3,17,5,2642,3071,2636,2965
1967,4,26,6,2855,4287,2846,4238
1967,5,50,4,2332,2574,2331,2573
1967,6,47,13,6810,14474,6802,14466
1967,7,24,7,11225,13772,11196,13719
1967,8,30,4,1199,1353,1180,1302
1967,9,13,6,3598,5927,3586,5897
1967,10,18,8,3969,5605,3722,5246
1967,11,33,7,5582,6614,5566,6566
1967,12,15,6,2890,3275,2884,3257
1968,1,54,22,110950,138284,110896,138186
1968,2,29,5,3183,3418,3166,3401
1968,3,41,9,2689,3053,2669,3033
1968,4,35,7,4095,4941,4083,4885
1968,5,56,4,2946,3227,2866,3019
1968,6,36,5,1897,2052,1886,1985
1968,7,41,4,1119,1446,1108,1166
1968,8,54,4,1617,1741,1601,1687
1968,9,19,5,1846,2036,1798,1894
1968,10,28,6,1247,1650,1210,1581
1968,11,23,5,1195,1492,1185,1442
1968,12,37,5,1511,1906,1269,1336
1969,1,21,6,33885,37606,33884,37605
1969,2,45,4,4232,4904,4225,4869
1969,3,54,8,6002,7636,5908,7423
1969,4,40,4,3180,3753,3129,3608
1969,5,47,10,5356,6293,5333,6128
1969,6,32,6,4868,5838,4607,5302
1969,7,78,9,3939,5206,3131,3599
1969,8,26,5,3479,4083,3467,3997
1969,9,42,10,3167,4487,2886,3965
1969,10,32,4,1782,2215,1722,1985
1969,11,35,5,2386,2787,2366,2728
1969,12,30,5,1500,1797,1446,1671
1970,1,21,8,35000,38911,34988,38870
1970,2,28,4,2209,2625,2118,2462
1970,3,28,6,7659,10752,7643,10614
1970,4,30,4,2425,2867,2370,2757
1970,5,13,8,16982,26673,16972,26643
1970,6,29,4,1922,2352,1849,2149
1970,7,14,6,1655,1930,1644,1915
1970,8,15,5,1859,2183,1847,2150
1970,9,16,4,1504,2019,1300,1513
1970,10,12,4,1026,1197,1024,1191
1970,11,22,7,1490,1842,1473,1789
1970,12,9,5,1110,1407,1108,1401
1971,1,20,7,35571,39657,35567,39645
1971,2,10,8,7678,11548,7676,11542
1971,3,14,5,9465,11382,9455,11352
1971,4,21,4,3827,5394,2794,3357
1971,5,19,6,3653,4861,3477,4685
1971,6,17,4,1759,2150,1715,2062
1971,7,24,4,1101,1347,1087,1305
1971,8,23,5,1562,1908,1448,1740
1971,9,13,4,1215,1462,1204,1447
1971,10,22,5,1535,1869,1534,1844
1971,11,12,4,1108,1331,1108,1331
1971,12,29,19,2692,4000,2692,4000
1972,1,17,6,56850,62905,56848,62899
1972,2,6,4,472,570,472,570
1972,3,23,6,51277,71501,51277,71501
1972,4,36,11,33854,48946,33848,48898
1972,5,18,7,27068,53064,27011,52897
1972,6,8,6,11462,16187,11462,16187
1972,7,6,5,683,825,683,825
1972,8,10,4,522,630,522,630
1972,9,34,4,420,554,409,495
1972,10,12,5,823,1041,822,991
1972,11,10,4,274,380,272,330
1972,12,9,4,960,1157,960,1157
1973,1,32,5,44943,50412,44939,50360
1973,2,7,3,16,58,16,58
1973,3,22,1,8,17,2,11
1973,4,11,3,9,36,9,36
1973,5,11,2,4,22,4,22
1973,6,8,2,10,28,10,28
1973,7,3,2,4,22,4,22
1973,8,5,1,3,12,2,11
1973,9,4,1,5,62,3,12
1973,10,29,16,8098,13526,8045,13321
1973,11,11,1,2,11,2,11
1973,12,12,1,6,96,2,11
1974,1,18,1,53934,59609,53828,59493
1974,2,14,0,30,137,0,0
1974,3,9,0,57,154,0,0
1974,4,13,0,2,50,0,0
1974,5,7,1,2,11,2,11
1974,6,5,0,0,0,0,0
1974,7,23,8,683,1400,678,1395
1974,8,21,2,43,166,42,165
1974,9,6,0,2,2,0,0
1974,10,1,0,0,0,0,0
1974,11,30,0,6,30,0,0
1974,12,8,1,2102,3000,2100,2950
1975,1,5,2,12937,14307,12936,14306
1975,2,12,0,0,0,0,0
1975,3,10,3,52552,89652,52550,89650
1975,4,11,6,5320,10906,5320,10906
1975,5,12,0,36,110,0,0
1975,6,14,0,11,35,0,0
1975,7,10,0,0,0,0,0
1975,8,6,0,0,0,0,0
1975,9,15,0,0,0,0,0
1975,10,29,2,9,125,4,120
1975,11,20,5,86,472,85,471
1975,12,26,2,49,337,33,225
1976,1,16,6,172,927,70,652
1976,2,17,10,30,1010,20,1000
1976,3,1,0,0,0,0,0
1976,4,14,0,0,0,0,0
1976,5,3,0,0,0,0,0
1976,6,8,0,2,2,0,0
1976,7,17,0,25,43,0,0
1976,8,15,0,2,2,0,0
1976,9,8,0,0,0,0,0
1976,10,5,0,4,40,0,0
1976,11,13,0,12,28,0,0
1976,12,2,0,0,0,0,0
1977,1,9,1,2,10,2,10
1977,2,6,0,1,1,0,0
1977,3,8,0,2,50,0,0
1977,4,26,0,2,20,0,0
1977,5,53,0,35,321,0,0
1977,6,23,0,15,63,0,0
1977,7,43,1,2689,3609,2500,3100
1977,8,22,2,1864,4013,1850,3950
1977,9,22,2,585,1880,555,1750
1977,10,13,3,207,1090,204,1050
1977,11,26,0,1,10,0,0
1977,12,5,1,200,800,200,800
1978,1,15,1,2,10,2,10
1978,2,15,0,200,318,0,0
1978,3,27,2,482,1315,450,1200
1978,4,17,0,15,133,0,0
1978,5,18,0,35,288,0,0
1978,6,10,0,17,41,0,0
1978,7,13,0,81,206,0,0
1978,8,11,1,503,732,500,725
1978,9,5,0,0,0,0,0
1978,10,25,2,296,999,185,495
1978,11,20,0,264,593,0,0
1978,12,15,3,3251,9510,3200,9450
1979,1,34,4,373,723,361,590
1979,2,34,4,8012,25475,7630,24190
1979,3,30,0,161,300,0,0
1979,4,19,1,20,39,8,12
1979,5,14,3,83,110,81,108
1979,6,18,0,2,20,0,0
1979,7,12,0,171,501,0,0
1979,8,7,0,1,25,0,0
1979,9,6,0,1,10,0,0
1979,10,19,0,61,138,0,0
1979,11,28,0,4,100,0,0
1979,12,12,0,1,1,0,0
1980,1,14,1,2,10,2,10
1980,2,18,0,6,6,0,0
1980,3,19,0,7,65,0,0
1980,4,10,0,1,1,0,0
1980,5,11,0,284,359,0,0
1980,6,33,0,125,247,0,0
1980,7,15,0,1802,2360,0,0
1980,8,19,0,60,158,0,0
1980,9,47,1,2696,8754,2400,7700
1980,10,4,0,1,1,0,0
1980,11,15,2,1682,4802,1680,4800
1980,12,18,0,10,82,0,0
1981,1,20,3,15345,25801,15342,25750
1981,2,5,0,1,1,0,0
1981,3,3,0,0,0,0,0
1981,4,19,0,3,75,0,0
1981,5,22,0,310,532,0,0
1981,6,8,0,10,10,0,0
1981,7,18,0,35,158,0,0
1981,8,10,0,259,508,0,0
1981,9,58,1,11608,12444,11600,12400
1981,10,40,0,0,0,0,0
1981,11,11,0,0,0,0,0
1981,12,13,0,8,8,0,0
1982,1,13,2,15013,25021,15002,25010
1982,2,14,0,5,5,0,0
1982,3,28,0,0,0,0,0
1982,4,31,3,9025,27073,9005,27005
1982,5,31,2,636,838,116,136
1982,6,33,9,712,1828,708,1776
1982,7,23,1,23591,28977,23400,28600
1982,8,14,0,639,1014,0,0
1982,9,18,0,1,20,0,0
1982,10,8,1,400,12000,400,12000
1982,11,5,2,9450,16920,9450,16920
1982,12,9,0,2,2,0,0
1983,1,15,2,15002,25010,15002,25010
1983,2,14,1,13000,19000,13000,19000
1983,3,5,0,1,25,0,0
1983,4,35,0,135,281,0,0
1983,5,9,0,6,6,0,0
1983,6,5,0,3,3,0,0
1983,7,15,2,7800,22000,7800,22000
1983,8,35,0,400,680,0,0
1983,9,12,0,102,500,0,0
1983,10,30,1,809,2320,740,2220
1983,11,14,0,0,0,0,0
1983,12,14,0,12,60,0,0
1984,1,25,2,15330,26096,15002,25010
1984,2,10,1,15000,45000,15000,45000
1984,3,63,0,11,11,0,0
1984,4,25,2,2114,7534,2100,7300
1984,5,26,0,202,500,0,0
1984,6,28,1,1587,4407,1500,4000
1984,7,9,1,1066,3985,800,3500
1984,8,24,0,11,11,0,0
1984,9,5,0,0,0,0,0
1984,10,8,0,2,2,0,0
1984,11,22,0,7,7,0,0
1984,12,13,0,625,825,0,0
1985,1,36,2,15080,25820,15002,25010
1985,2,12,0,200,350,0,0
1985,3,14,1,5020,15416,5000,15000
1985,4,8,0,301,625,0,0
1985,5,13,0,313,452,0,0
1985,6,13,0,0,0,0,0
1985,7,3,0,0,0,0,0
1985,8,13,0,4,52,0,0
1985,9,20,0,233,442,0,0
1985,10,19,0,77,90,0,0
1985,11,12,0,13,55,0,0
1985,12,30,0,21,135,0,0
1986,1,16,2,15005,25013,15002,25010
1986,2,12,1,84000,104000,84000,104000
1986,3,23,0,886,886,0,0
1986,4,18,0,1,1,0,0
1986,5,13,1,17201,21601,17200,21600
1986,6,17,1,2405,5205,2400,5200
1986,7,13,0,1,1,0,0
1986,8,17,0,0,0,0,0
1986,9,10,0,0,0,0,0
1986,10,8,1,240,1100,200,1000
1986,11,7,0,0,0,0,0
1986,12,26,1,265,1423,200,1000
1987,1,19,4,58225,77511,57387,75830
1987,2,13,0,281,530,0,0
1987,3,23,1,1241,1379,1220,1340
1987,4,24,2,947,8180,800,8000
1987,5,28,0,29,53,0,0
1987,6,16,0,8,8,0,0
1987,7,18,0,0,0,0,0
1987,8,14,1,1811,2650,1800,2600
1987,9,11,1,1060,1820,1060,1820
1987,10,10,0,11,11,0,0
1987,11,4,0,101,175,0,0
1987,12,13,0,24,54,0,0
1988,1,7,2,15003,25011,15002,25010
1988,2,11,0,2,50,0,0
1988,3,15,1,405,4053,400,4000
1988,4,6,1,400,2400,400,2400
1988,5,3,1,200,800,200,800
1988,6,4,1,1720,4980,1720,4980
1988,7,2,0,0,0,0,0
1988,8,4,0,0,0,0,0
1988,9,4,0,0,0,0,0
1988,10,1,0,0,0,0,0
1988,11,1,0,0,0,0,0
1988,12,3,0,1,1,0,0
1989,1,6,0,0,0,0,0
1989,2,2,0,0,0,0,0
1989,3,12,0,77,77,0,0
1989,4,3,0,1,1,0,0
1989,5,7,0,6,30,0,0
1989,6,1,0,0,0,0,0
1989,7,1,0,0,0,0,0
1989,9,6,0,4,4,0,0
1989,10,5,0,2,4,0,0
1989,11,5,0,2,6,0,0
1989,12,11,0,255,345,0,0
1990,1,6,0,0,0,0,0
1990,2,10,0,41,41,0,0
1990,4,10,0,0,0,0,0
1990,5,4,0,2,50,0,0
1990,6,2,0,0,0,0,0
1990,7,5,0,0,0,0,0
1990,8,6,1,1281,1521,680,770
1990,9,3,0,0,0,0,0
1990,11,2,0,2,2,0,0
1991,1,35,21,8252,44575,8252,44575
1991,2,9,5,195,552,193,550
1991,3,2,0,1,2,0,0
1991,4,10,0,5,5,0,0
1991,5,13,0,0,0,0,0
1991,6,4,0,0,0,0,0
1991,7,4,0,0,0,0,0
1991,8,22,0,36,60,0,0
1991,9,12,0,30,54,0,0
1991,10,7,0,0,0,0,0
1991,11,2,0,0,0,0,0
1991,12,10,0,1,1,0,0
1992,1,3,0,27,101,0,0
1992,2,4,0,129,425,0,0
1992,3,9,0,33,120,0,0
1992,4,18,2,1285,3601,1200,2950
1992,5,13,0,310,964,0,0
1992,6,8,1,394,1567,360,1440
1992,7,19,0,52,200,0,0
1992,8,11,0,2,60,0,0
1992,9,8,0,2,2,0,0
1992,10,7,0,57,205,0,0
1992,11,2,0,0,0,0,0
1992,12,8,0,4,71,0,0
1993,1,58,0,21,182,0,0
1993,2,10,1,608,2408,600,2400
1993,3,27,1,1463,2777,1460,2700
1993,4,24,0,1,1,0,0
1993,5,9,0,0,0,0,0
1993,6,13,2,1634,2676,1630,2600
1993,7,26,0,65,142,0,0
1993,8,20,0,10,14,0,0
1993,9,12,0,6,303,0,0
1993,10,20,0,50,200,0,0
1993,11,20,0,7,103,0,0
1993,12,6,0,50,200,0,0
1994,1,17,0,5,125,0,0
1994,2,13,0,4,80,0,0
1994,3,14,0,47,47,0,0
1994,4,22,0,6,6,0,0
1994,5,10,0,0,0,0,0
1994,6,23,0,1,1,0,0
1994,7,15,0,10,10,0,0
1994,8,16,0,0,0,0,0
1994,9,24,0,10,10,0,0
1994,10,38,0,0,0,0,0
1994,11,12,0,0,0,0,0
1994,12,15,0,6,15,0,0
1995,1,31,5,385,803,306,690
1995,2,12,3,8,92,6,90
1995,3,30,0,58,224,0,0
1995,4,13,0,3,21,0,0
1995,5,23,0,16,43,0,0
1995,6,13,0,5,5,0,0
1995,7,11,0,3,55,0,0
1995,8,19,0,0,0,0,0
1995,9,11,0,0,0,0,0
1995,10,4,0,1,5,0,0
1995,11,10,0,0,0,0,0
1995,12,25,0,31,67,0,0
1996,1,23,0,1,10,0,0
1996,2,26,0,6,57,0,0
1996,3,22,0,1,25,0,0
1996,4,19,0,55,227,0,0
1996,5,17,0,0,0,0,0
1996,6,21,0,3,21,0,0
1996,7,22,0,0,0,0,0
1996,8,20,0,3,15,0,0
1996,9,36,0,3,36,0,0
1996,10,22,0,351,740,0,0
1996,11,19,0,0,0,0,0
1996,12,18,0,0,0,0,0
1997,1,19,0,8,22,0,0
1997,2,12,0,0,0,0,0
1997,3,31,0,0,0,0,0
1997,4,29,0,111,207,0,0
1997,5,33,0,2,50,0,0
1997,6,19,0,13,80,0,0
1997,7,10,0,8,16,0,0
1997,8,30,0,153,169,0,0
1997,9,35,0,87,121,0,0
1997,10,35,0,58,215,0,0
1997,11,33,0,2,2,0,0
1997,12,20,0,3,20,0,0
1998,1,29,0,4,25,0,0
1998,2,15,0,12,110,0,0
1998,3,14,0,10,28,0,0
1998,4,8,0,8,50,0,0
1998,5,19,1,1624,2340,1600,2200
1998,6,55,0,413,960,0,0
1998,7,17,0,6,33,0,0
1998,8,65,0,361,1265,0,0
1998,9,44,0,0,0,0,0
1998,10,60,0,21,101,0,0
1998,11,18,0,0,0,0,0
1998,12,25,0,6,204,0,0
1999,1,75,1,1515,3057,1500,3000
1999,2,96,2,36004,53518,36000,53500
1999,3,151,2,8753,16407,8750,16400
1999,4,31,0,3,51,0,0
1999,5,34,1,132,470,110,310
1999,6,29,0,179,553,0,0
1999,7,25,9,219,3553,200,3525
1999,8,15,0,571,1151,0,0
1999,9,9,0,0,0,0,0
1999,10,25,0,0,0,0,0
1999,11,11,0,0,0,0,0
1999,12,4,0,0,0,0,0
2000,1,17,9,1523,3927,1520,3900
2000,2,26,0,19,23,0,0
2000,3,22,0,2,10,0,0
2000,4,14,0,2,10,0,0
2000,5,24,1,8503,16045,8500,16000
2000,6,14,0,57,363,0,0
2000,7,5,0,0,0,0,0
2000,8,10,0,2,2,0,0
2000,9,18,0,11,11,0,0
2000,10,18,0,0,0,0,0
2000,11,89,0,0,0,0,0
2000,12,6,0,10,100,0,0
2001,1,20,8,20,800,20,800
2001,2,17,0,26,100,0,0
2001,3,13,0,0,0,0,0
2001,4,18,0,4,4,0,0
2001,5,12,0,1,1,0,0
2001,6,5,0,0,0,0,0
2001,7,11,0,0,0,0,0
2001,8,21,0,1,1,0,0
2001,9,25,0,12,12,0,0
2001,10,39,0,8,350,0,0
2001,11,14,8,5308,6987,5293,6972
2001,12,16,3,127,191,122,162
2002,1,26,6,12,300,12,300
2002,2,15,0,0,0,0,0
2002,3,12,0,0,0,0,0
2002,4,20,0,23,47,0,0
2002,5,18,0,0,0,0,0
2002,6,24,0,18,18,0,0
2002,7,14,0,2,50,0,0
2002,8,12,0,0,0,0,0
2002,9,22,0,1,25,0,0
2002,10,19,0,22,80,0,0
2002,11,14,0,6,120,0,0
2002,12,16,0,4,52,0,0
2003,1,17,0,13,13,0,0
2003,2,17,0,2,26,0,0
2003,3,32,11,1814,3642,1414,2042
2003,4,16,3,1762,2424,1762,2424
2003,5,13,0,0,0,0,0
2003,6,14,0,4,22,0,0
2003,7,17,0,4,28,0,0
2003,8,18,0,0,0,0,0
2003,9,12,0,0,0,0,0
2003,10,12,0,4,52,0,0
2003,11,12,0,2,2,0,0
2003,12,9,0,0,0,0,0
2004,1,3,0,0,0,0,0
2004,2,7,0,0,0,0,0
2004,3,7,0,3,21,0,0
2004,4,6,0,3,21,0,0
2004,5,11,0,0,0,0,0
2004,6,14,0,8,39,0,0
2004,7,12,0,2,2,0,0
2004,8,9,0,0,0,0,0
2004,9,10,0,2,2,0,0
2004,10,10,0,2,20,0,0
2004,11,22,0,13,13,0,0
2004,12,9,0,1,25,0,0
2005,1,17,0,5,53,0,0
2005,2,6,0,0,0,0,0
2005,3,29,0,6,15,0,0
2005,4,8,0,3,3,0,0
2005,5,11,0,4,4,0,0
2005,6,10,0,2,2,0,0
2005,7,13,0,0,0,0,0
2005,8,5,0,0,0,0,0
2005,9,8,0,1,1,0,0
2005,10,14,0,1,1,0,0
2005,11,12,0,0,0,0,0
2005,12,5,0,0,0,0,0
2006,1,5,0,0,0,0,0
2006,2,4,0,0,0,0,0
2006,3,7,0,8,8,0,0
2006,4,9,0,3,27,0,0
2006,5,9,0,1,1,0,0
2006,6,9,0,3,3,0,0
2006,7,6,0,52,200,0,0
2006,8,8,0,0,0,0,0
2006,9,12,0,1,1,0,0
2006,10,8,0,5,16,0,0
2006,11,5,0,1,1,0,0
2006,12,3,0,0,0,0,0
2007,1,8,0,6,24,0,0
2007,2,9,0,1,1,0,0
2007,3,7,0,3,3,0,0
2007,4,9,0,18,42,0,0
2007,5,6,0,12,12,0,0
2007,6,8,0,0,0,0,0
2007,7,3,0,0,0,0,0
2007,8,8,0,0,0,0,0
2007,9,12,0,6,6,0,0
2007,10,6,0,2,2,0,0
2007,11,2,0,0,0,0,0
2007,12,5,0,2,2,0,0
2008,1,5,0,0,0,0,0
2008,2,6,0,1,1,0,0
2008,3,10,0,4,52,0,0
2008,4,12,0,1,1,0,0
2008,5,11,0,1,1,0,0
2008,6,9,0,15,63,0,0
2008,7,11,0,6,30,0,0
2008,8,8,0,131,450,0,0
2008,9,4,0,0,0,0,0
2008,10,7,0,2,2,0,0
2008,11,8,0,3,3,0,0
2008,12,7,0,0,0,0,0
2009,1,11,0,2,2,0,0
2009,2,11,0,4,4,0,0
2009,3,13,0,0,0,0,0
2009,4,5,0,3,21,0,0
2009,5,8,0,1,1,0,0
2009,6,4,0,0,0,0,0
2009,7,1,0,0,0,0,0
2009,8,9,0,0,0,0,0
2009,9,7,0,4,4,0,0
2009,10,6,0,0,0,0,0
2009,11,9,0,10,10,0,0
2009,12,10,0,0,0,0,0
2010,1,19,0,16,40,0,0
2010,2,6,0,3,3,0,0
2010,3,16,0,47,47,0,0
2010,4,6,0,0,0,0,0
2010,5,8,0,0,0,0,0
2010,6,10,0,10,58,0,0
2010,7,14,0,0,0,0,0
2010,8,9,0,9,60,0,0
2010,9,11,0,6,6,0,0
2010,10,10,0,3,3,0,0
2010,11,11,0,3,3,0,0
2010,12,6,0,0,0,0,0
2011,1,24,0,0,0,0,0
2011,2,23,0,4,4,0,0
2011,3,52,0,0,0,0,0
2011,4,26,0,12,12,0,0
2011,5,25,0,4,4,0,0
2011,6,27,0,3,15,0,0
2011,7,48,0,0,0,0,0
2011,8,18,0,3,3,0,0
2011,9,21,0,5,5,0,0
2011,10,26,0,4,8,0,0
2011,11,16,0,26,26,0,0
2011,12,18,0,0,0,0,0
2012,1,9,0,0,0,0,0
2012,2,18,0,0,0,0,0
2012,3,5,0,0,0,0,0
2012,4,13,0,0,0,0,0
2012,5,17,0,2,27,0,0
2012,6,15,0,8,8,0,0
2012,7,12,0,2,2,0,0
2012,8,12,0,2,2,0,0
2012,9,15,0,0,0,0,0
2012,10,26,0,2,20,0,0
2012,11,21,0,1,1,0,0
2012,12,18,0,0,0,0,0
2013,1,20,0,7,7,0,0
2013,2,15,0,2,2,0,0
2013,3,12,0,0,0,0,0
2013,4,15,0,0,0,0,0
2013,5,15,0,6,6,0,0
2013,6,21,0,3,3,0,0
2013,7,31,0,2,2,0,0
2013,8,35,0,7,7,0,0
2013,9,17,0,1,5,0,0
2013,10,27,0,4,4,0,0
2013,11,29,0,0,0,0,0
2013,12,25,0,2,2,0,0
2014,1,17,0,0,0,0,0
2014,2,13,0,0,0,0,0
2014,3,32,0,0,0,0,0
2014,4,40,0,0,0,0,0
2014,5,38,0,3,3,0,0
2014,6,21,0,6,6,0,0
2014,7,25,0,8,8,0,0
2014,8,29,0,2,2,0,0
2014,9,21,0,0,0,0,0
2014,10,39,0,2,2,0,0
2014,11,16,0,1,1,0,0
2014,12,23,0,4,4,0,0
